,fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,quality
806,7.8,0.27,0.58,11.2,0.036,44,161,0.9977,3.06,0.41,8.9,6
807,6.4,0.31,0.26,13.2,0.046,57,205,0.9975,3.17,0.41,9.6,5
808,6.2,0.29,0.26,13.1,0.046,55,204,0.99745,3.16,0.41,9.6,6
809,6,0.39,0.17,12,0.046,65,246,0.9976,3.15,0.38,9,6
810,6.2,0.3,0.26,13.4,0.046,57,206,0.99775,3.17,0.43,9.5,6
811,6,0.28,0.49,6.8,0.048,61,222,0.9953,3.19,0.47,9.3,5
812,6,0.41,0.05,1.5,0.063,17,120,0.9932,3.21,0.56,9.2,6
813,6.4,0.35,0.28,1.1,0.055,9,160,0.99405,3.42,0.5,9.1,7
814,6.5,0.26,0.32,16.5,0.045,44,166,1,3.38,0.46,9.5,6
815,7.9,0.35,0.24,15.6,0.072,44,229,0.99785,3.03,0.59,10.5,6
816,6.2,0.3,0.17,2.8,0.04,24,125,0.9939,3.01,0.46,9,5
817,8.4,0.18,0.42,5.1,0.036,7,77,0.9939,3.16,0.52,11.7,5
818,6.6,0.56,0.22,8.9,0.034,27,133,0.99675,3.2,0.51,9.1,5
819,6.2,0.3,0.17,2.8,0.04,24,125,0.9939,3.01,0.46,9,5
820,6.6,0.56,0.22,8.9,0.034,27,133,0.99675,3.2,0.51,9.1,5
821,6.6,0.36,0.29,1.6,0.021,24,85,0.98965,3.41,0.61,12.4,9
822,7.3,0.655,0.2,10.2,0.071,28,212,0.9971,2.96,0.58,9.2,6
823,6.8,0.18,0.21,5.4,0.053,34,104,0.99445,3.3,0.43,9.4,5
824,6.7,0.19,0.23,6.2,0.047,36,117,0.9945,3.34,0.43,9.6,6
825,8.4,0.18,0.42,5.1,0.036,7,77,0.9939,3.16,0.52,11.7,5
826,7,0.21,0.37,7.2,0.042,36,167,0.9958,3.26,0.56,9.8,6
827,6.8,0.25,0.38,8.1,0.046,24,155,0.9956,3.33,0.59,10.2,6
828,7.4,0.24,0.36,2,0.031,27,139,0.99055,3.28,0.48,12.5,9
829,7.1,0.16,0.36,10.7,0.044,20,90,0.9959,3.16,0.44,10.9,7
830,7.1,0.16,0.36,1.2,0.043,21,90,0.9925,3.16,0.42,11,7
831,7.3,0.205,0.31,1.7,0.06,34,110,0.9963,3.72,0.69,10.5,6
832,7.4,0.17,0.4,5.5,0.037,34,161,0.9935,3.05,0.62,11.5,4
833,7.3,0.3,0.34,2.7,0.044,34,108,0.99105,3.36,0.53,12.8,8
834,6.9,0.25,0.34,1.3,0.035,27,82,0.99045,3.18,0.44,12.2,6
835,7.3,0.205,0.31,1.7,0.06,34,110,0.9963,3.72,0.69,10.5,6
836,7.5,0.42,0.34,4.3,0.04,34,108,0.99155,3.14,0.45,12.8,8
837,7.3,0.25,0.36,2.1,0.034,30,177,0.99085,3.25,0.4,11.9,8
838,7.3,0.25,0.36,2.1,0.034,30,177,0.99085,3.25,0.4,11.9,8
839,7.3,0.25,0.36,2.1,0.034,30,177,0.99085,3.25,0.4,11.9,8
840,7.5,0.34,0.35,6,0.034,12,126,0.9924,3.16,0.39,12,7
841,7.6,0.33,0.35,6.3,0.036,12,126,0.9924,3.16,0.39,12,7
842,8.7,0.23,0.32,13.4,0.044,35,169,0.99975,3.12,0.47,8.8,7
843,8.7,0.23,0.32,13.4,0.044,35,169,0.99975,3.12,0.47,8.8,7
844,6.9,0.19,0.35,1.7,0.036,33,101,0.99315,3.21,0.54,10.8,7
845,7.3,0.21,0.29,1.6,0.034,29,118,0.9917,3.3,0.5,11,8
846,7.3,0.21,0.29,1.6,0.034,29,118,0.9917,3.3,0.5,11,8
847,6.6,0.22,0.37,15.4,0.035,62,153,0.99845,3.02,0.4,9.3,5
848,9.2,0.34,0.27,1.2,0.026,17,73,0.9921,3.08,0.39,10.8,5
849,8.7,0.23,0.32,13.4,0.044,35,169,0.99975,3.12,0.47,8.8,7
850,6,0.2,0.24,1.8,0.03,30,105,0.9909,3.31,0.47,11.5,6
851,6.9,0.19,0.35,1.7,0.036,33,101,0.99315,3.21,0.54,10.8,7
852,8.2,0.38,0.49,13.6,0.042,58,166,0.99855,3.1,0.54,9.4,5
853,6.9,0.18,0.36,1.3,0.036,40,117,0.9934,3.27,0.95,9.5,7
854,7.7,0.34,0.58,11.1,0.039,41,151,0.9978,3.06,0.49,8.6,5
855,6.9,0.18,0.36,1.3,0.036,40,117,0.9934,3.27,0.95,9.5,7
856,7.4,0.2,0.35,2.1,0.038,30,116,0.9949,3.49,0.77,10.3,7
857,8.2,0.38,0.49,13.6,0.042,58,166,0.99855,3.1,0.54,9.4,5
858,8.2,0.4,0.48,13.7,0.042,59,169,0.9986,3.1,0.52,9.4,5
859,6.7,0.22,0.39,10.2,0.038,60,149,0.99725,3.17,0.54,10,7
860,6.6,0.3,0.3,4.8,0.17,60,166,0.9946,3.18,0.47,9.4,5
861,8.1,0.27,0.35,1.7,0.03,38,103,0.99255,3.22,0.63,10.4,8
862,7.3,0.25,0.42,14.2,0.041,57,182,0.9996,3.29,0.75,9.1,7
863,4.8,0.34,0,6.5,0.028,33,163,0.9939,3.36,0.61,9.9,6
864,6.2,0.28,0.33,1.7,0.029,24,111,0.99,3.24,0.5,12.1,6
865,4.8,0.33,0,6.5,0.028,34,163,0.9937,3.35,0.61,9.9,5
866,6.1,0.27,0.33,2.2,0.021,26,117,0.9886,3.12,0.3,12.5,6
867,6.9,0.18,0.36,1.3,0.036,40,117,0.9934,3.27,0.95,9.5,7
868,7.8,0.18,0.46,12.6,0.042,41,143,1,3.24,0.76,8.5,8
869,7.3,0.28,0.42,14.4,0.04,49,173,0.9994,3.28,0.82,9,7
870,7.3,0.24,0.29,1.2,0.037,37,97,0.9926,3.19,0.7,10.1,6
871,6,0.45,0.65,9.7,0.08,11,159,0.9956,3.04,0.48,9.4,5
872,7.7,0.34,0.58,11.1,0.039,41,151,0.9978,3.06,0.49,8.6,5
873,6.3,0.26,0.21,4,0.03,24,125,0.9915,3.06,0.34,10.7,6
874,10.3,0.17,0.47,1.4,0.037,5,33,0.9939,2.89,0.28,9.6,3
875,7.7,0.15,0.29,1.3,0.029,10,64,0.9932,3.35,0.39,10.1,5
876,7.1,0.21,0.32,2.2,0.037,28,141,0.993,3.2,0.57,10,7
877,6.9,0.36,0.34,4.2,0.018,57,119,0.9898,3.28,0.36,12.7,9
878,6,0.28,0.34,1.6,0.119,33,104,0.9921,3.19,0.38,10.2,6
879,6.2,0.16,0.54,1.4,0.126,37,110,0.9932,3.23,0.37,8.9,6
880,6.9,0.12,0.36,2.2,0.037,18,111,0.9919,3.41,0.82,11.9,8
881,7.1,0.21,0.32,2.2,0.037,28,141,0.993,3.2,0.57,10,7
882,8.8,0.36,0.44,1.9,0.04,9,121,0.9953,3.19,0.48,9.9,6
883,7.4,0.26,0.43,6,0.022,22,125,0.9928,3.13,0.55,11.5,6
884,7.4,0.26,0.43,6,0.022,22,125,0.9928,3.13,0.55,11.5,6
885,6.8,0.23,0.29,12.2,0.035,38,236,0.9976,3.35,0.52,9.8,6
886,6.1,0.34,0.27,2.6,0.024,20,105,0.9906,3.4,0.67,12.2,7
887,7.3,0.26,0.31,1.6,0.04,39,173,0.9918,3.19,0.51,11.4,6
888,6.5,0.3,0.32,2,0.044,34,90,0.99185,3.37,0.68,11,7
889,7.3,0.26,0.31,1.6,0.04,39,173,0.9918,3.19,0.51,11.4,6
890,6.5,0.3,0.32,2,0.044,34,90,0.99185,3.37,0.68,11,7
891,5,0.31,0,6.4,0.046,43,166,0.994,3.3,0.63,9.9,6
892,5.8,0.26,0.18,1.2,0.031,40,114,0.9908,3.42,0.4,11,7
893,5.9,0.26,0.3,1,0.036,38,114,0.9928,3.58,0.48,9.4,5
894,7,0.31,0.29,1.4,0.037,33,128,0.9896,3.12,0.36,12.2,7
895,5.8,0.26,0.18,1.2,0.031,40,114,0.9908,3.42,0.4,11,7
896,5.6,0.19,0.39,1.1,0.043,17,67,0.9918,3.23,0.53,10.3,6
897,6.8,0.18,0.28,8.7,0.047,52,242,0.9952,3.22,0.53,10.5,6
898,7,0.29,0.26,1.6,0.044,12,87,0.9923,3.08,0.46,10.5,6
899,6.6,0.26,0.29,1.4,0.039,13,67,0.9915,3.05,0.49,10.9,6
900,6.8,0.18,0.28,8.5,0.047,52,242,0.9952,3.22,0.53,10.5,6
901,6.6,0.2,0.38,7.9,0.052,30,145,0.9947,3.32,0.56,11,7
902,8,0.29,0.29,13.2,0.046,26,113,0.9983,3.25,0.37,9.7,6
903,6.1,0.28,0.35,12.8,0.048,63,229,0.9975,3.08,0.4,8.9,5
904,5.9,0.31,0.3,7.7,0.047,60,206,0.995,3.2,0.39,9.6,6
905,6.9,0.21,0.28,2.4,0.056,49,159,0.9944,3.02,0.47,8.8,8
906,8.4,0.19,0.42,1.6,0.047,9,101,0.994,3.06,0.65,11.1,4
907,8.3,0.27,0.45,1.3,0.048,8,72,0.9944,3.08,0.61,10.3,4
908,7.1,0.25,0.39,2.1,0.036,30,124,0.9908,3.28,0.43,12.2,8
909,8,0.23,0.37,9.6,0.054,23,159,0.99795,3.32,0.47,9.8,4
910,7.5,0.24,0.31,13,0.049,46,217,0.9985,3.08,0.53,8.8,5
911,6.3,0.33,0.2,5.8,0.04,24,144,0.99425,3.15,0.63,9.9,5
912,6.2,0.33,0.19,5.6,0.042,22,143,0.99425,3.15,0.63,9.9,5
913,6.3,0.34,0.19,5.8,0.041,22,145,0.9943,3.15,0.63,9.9,5
914,5.8,0.29,0.05,0.8,0.038,11,30,0.9924,3.36,0.35,9.2,5
915,8,0.32,0.26,1.2,0.05,11.5,88,0.9946,3.24,0.37,9.5,4
916,5.6,0.29,0.05,0.8,0.038,11,30,0.9924,3.36,0.35,9.2,5
917,7.4,0.13,0.39,4.7,0.042,36,137,0.995,3.36,0.56,10.3,7
918,7.7,0.3,0.32,1.6,0.037,23,124,0.9919,2.93,0.33,11,6
919,7,0.24,0.34,1.4,0.031,27,107,0.99,3.06,0.39,11.9,6
920,8.6,0.18,0.4,1.1,0.04,20,107,0.9923,2.94,0.32,10.2,7
921,7,0.11,0.32,4.6,0.057,59,144,0.9956,3.55,0.44,9.4,7
922,7.7,0.32,0.62,10.6,0.036,56,153,0.9978,3.13,0.44,8.9,6
923,7.7,0.32,0.62,10.6,0.036,56,153,0.9978,3.13,0.44,8.9,6
924,6.5,0.26,0.27,12.9,0.044,69,215,0.9967,3.17,0.43,10,6
925,7.9,0.28,0.41,2,0.044,50,152,0.9934,3.45,0.49,10.7,8
926,6.3,0.27,0.23,2.9,0.047,13,100,0.9936,3.28,0.43,9.8,5
927,5.4,0.595,0.1,2.8,0.042,26,80,0.9932,3.36,0.38,9.3,5
928,6.7,0.25,0.33,2.9,0.057,52,173,0.9934,3.02,0.48,9.5,7
929,6.5,0.25,0.35,12,0.055,47,179,0.998,3.58,0.47,10,5
930,6.1,0.36,0.58,15,0.044,42,115,0.9978,3.15,0.51,9,5
931,7.7,0.17,0.52,5.9,0.017,21,84,0.9929,3.14,0.4,11.9,7
932,6.4,0.26,0.43,12.6,0.033,64,230,0.9974,3.08,0.38,8.9,5
933,6.5,0.26,0.28,12.5,0.046,80,225,0.99685,3.18,0.41,10,6
934,5.9,0.29,0.33,7.4,0.037,58,205,0.99495,3.26,0.41,9.6,5
935,6.2,0.28,0.43,13,0.039,64,233,0.99745,3.08,0.38,8.9,5
936,6.1,0.27,0.44,6.7,0.041,61,230,0.99505,3.12,0.4,8.9,5
937,6.4,0.43,0.32,1.4,0.048,10,67,0.992,3.08,0.41,11.4,5
938,6.1,0.36,0.58,15,0.044,42,115,0.9978,3.15,0.51,9,5
939,6.2,0.35,0.29,7.3,0.044,56,244,0.9956,3.36,0.55,10,6
940,7.7,0.24,0.29,15.3,0.044,39,194,0.9982,3.06,0.47,9.6,7
941,6.2,0.34,0.28,7.5,0.034,40,197,0.99485,3.14,0.6,9.7,5
942,6.3,0.27,0.46,11.75,0.037,61,212,0.9971,3.25,0.53,9.5,6
943,5.4,0.415,0.19,1.6,0.039,27,88,0.99265,3.54,0.41,10,7
944,6.9,0.48,0.36,3.5,0.03,31,135,0.9904,3.14,0.38,12.2,7
945,6.5,0.18,0.33,8,0.051,16,131,0.9965,3.28,0.44,8.7,7
946,6.7,0.15,0.29,5,0.058,28,105,0.9946,3.52,0.44,10.2,7
947,8.2,0.345,1,18.2,0.047,55,205,0.99965,2.96,0.43,9.6,5
948,8.5,0.16,0.35,1.6,0.039,24,147,0.9935,2.96,0.36,10,5
949,6.8,0.705,0.25,3.2,0.048,10,57,0.996,3.36,0.52,9.5,4
950,7.3,0.25,0.39,6.4,0.034,8,84,0.9942,3.18,0.46,11.5,5
951,7.6,0.345,0.26,1.9,0.043,15,134,0.9936,3.08,0.38,9.5,5
952,7.6,0.22,0.34,9.7,0.035,26,143,0.9965,3.08,0.49,9.8,6
953,6.5,0.17,0.33,1.4,0.028,14,99,0.9928,3.23,0.55,10.1,6
954,8.2,0.23,0.37,1.3,0.042,39,117,0.9928,2.99,0.36,10,5
955,7.6,0.22,0.34,9.7,0.035,26,143,0.9965,3.08,0.49,9.8,6
956,7.6,0.345,0.26,1.9,0.043,15,134,0.9936,3.08,0.38,9.5,5
957,7.5,0.32,0.26,1.8,0.042,13,133,0.9938,3.07,0.38,9.5,5
958,6.6,0.23,0.32,0.9,0.041,25,79,0.9926,3.39,0.54,10.2,7
959,6.6,0.2,0.32,1.1,0.039,25,78,0.9926,3.39,0.54,10.2,7
960,7.3,0.24,0.34,15.4,0.05,38,174,0.9983,3.03,0.42,9,6
961,7.3,0.24,0.34,15.4,0.05,38,174,0.9983,3.03,0.42,9,6
962,8,0.42,0.36,5,0.037,34,101,0.992,3.13,0.57,12.3,7
963,7.3,0.24,0.34,15.4,0.05,38,174,0.9983,3.03,0.42,9,6
964,6.1,0.19,0.25,4,0.023,23,112,0.9923,3.37,0.51,11.6,6
965,5.9,0.26,0.21,12.5,0.034,36,152,0.9972,3.28,0.43,9.5,6
966,8.3,0.23,0.43,3.2,0.035,14,101,0.9928,3.15,0.36,11.5,5
967,6.5,0.34,0.28,1.8,0.041,43,188,0.9928,3.13,0.37,9.6,6
968,6.8,0.22,0.35,17.5,0.039,38,153,0.9994,3.24,0.42,9,6
969,6.5,0.08,0.33,1.9,0.028,23,93,0.991,3.34,0.7,12,7
970,5.5,0.42,0.09,1.6,0.019,18,68,0.9906,3.33,0.51,11.4,7
971,5.1,0.42,0.01,1.5,0.017,25,102,0.9894,3.38,0.36,12.3,7
972,6,0.27,0.19,1.7,0.02,24,110,0.9898,3.32,0.47,12.6,7
973,6.8,0.22,0.35,17.5,0.039,38,153,0.9994,3.24,0.42,9,6
974,6.5,0.08,0.33,1.9,0.028,23,93,0.991,3.34,0.7,12,7
975,7.1,0.13,0.38,1.8,0.046,14,114,0.9925,3.32,0.9,11.7,6
976,7.6,0.3,0.25,4.3,0.054,22,111,0.9956,3.12,0.49,9.2,5
977,6.6,0.13,0.3,4.9,0.058,47,131,0.9946,3.51,0.45,10.3,6
978,6.5,0.14,0.33,7.6,0.05,53,189,0.9966,3.25,0.49,8.6,5
979,7.7,0.28,0.33,6.7,0.037,32,155,0.9951,3.39,0.62,10.7,7
980,6,0.2,0.71,1.6,0.15,10,54,0.9927,3.12,0.47,9.8,5
981,6,0.19,0.71,1.5,0.152,9,55,0.9927,3.12,0.46,9.8,6
982,7.7,0.28,0.33,6.7,0.037,32,155,0.9951,3.39,0.62,10.7,7
983,5.1,0.39,0.21,1.7,0.027,15,72,0.9894,3.5,0.45,12.5,6
984,5.7,0.36,0.34,4.2,0.026,21,77,0.9907,3.41,0.45,11.9,6
985,6.9,0.19,0.33,1.6,0.043,63,149,0.9925,3.44,0.52,10.8,5
986,6,0.41,0.21,1.9,0.05,29,122,0.9928,3.42,0.52,10.5,6
987,7.4,0.28,0.3,5.3,0.054,44,161,0.9941,3.12,0.48,10.3,6
988,7.4,0.3,0.3,5.2,0.053,45,163,0.9941,3.12,0.45,10.3,6
989,6.9,0.19,0.33,1.6,0.043,63,149,0.9925,3.44,0.52,10.8,5
990,7.7,0.28,0.39,8.9,0.036,8,117,0.9935,3.06,0.38,12,7
991,8.6,0.16,0.38,3.4,0.04,41,143,0.9932,2.95,0.39,10.2,6
992,8.2,0.26,0.44,1.3,0.046,7,69,0.9944,3.14,0.62,10.2,4
993,6.5,0.25,0.27,15.2,0.049,75,217,0.9972,3.19,0.39,9.9,5
994,7,0.24,0.18,1.3,0.046,9,62,0.994,3.38,0.47,10.1,4
995,8.6,0.18,0.36,1.8,0.04,24,187,0.9956,3.25,0.55,9.5,6
996,7.8,0.27,0.34,1.6,0.046,27,154,0.9927,3.05,0.45,10.5,6
997,6,0.26,0.34,1.3,0.046,6,29,0.9924,3.29,0.63,10.4,5
998,6.1,0.24,0.27,9.8,0.062,33,152,0.9966,3.31,0.47,9.5,6
999,8,0.24,0.3,17.45,0.056,43,184,0.9997,3.05,0.5,9.2,6
1000,7.6,0.21,0.6,2.1,0.046,47,165,0.9936,3.05,0.54,10.1,7
1001,8,0.19,0.36,1.8,0.05,16,84,0.9936,3.15,0.45,9.8,7
1002,6.4,0.28,0.41,6.8,0.045,61,216,0.9952,3.09,0.46,9.4,5
1003,6.4,0.28,0.43,7.1,0.045,60,221,0.9952,3.09,0.45,9.4,6
1004,6.9,0.24,0.39,1.3,0.063,18,136,0.9928,3.31,0.48,10.4,7
1005,5.8,0.36,0.26,3.3,0.038,40,153,0.9911,3.34,0.55,11.3,6
1006,6.6,0.18,0.28,3.3,0.044,18,91,0.993,3.42,0.64,10.8,6
1007,5.8,0.36,0.26,3.3,0.038,40,153,0.9911,3.34,0.55,11.3,6
1008,5.1,0.52,0.06,2.7,0.052,30,79,0.9932,3.32,0.43,9.3,5
1009,6.6,0.22,0.37,1.2,0.059,45,199,0.993,3.37,0.55,10.3,7
1010,8.3,0.15,0.39,1.3,0.055,32,146,0.993,3.08,0.39,10.5,6
1011,7.6,0.16,0.44,1.4,0.043,25,109,0.9932,3.11,0.75,10.3,6
1012,7.7,0.16,0.41,1.7,0.048,60,173,0.9932,3.24,0.66,11.2,7
1013,8.3,0.16,0.48,1.7,0.057,31,98,0.9943,3.15,0.41,10.3,6
1014,6.2,0.25,0.47,11.6,0.048,62,210,0.9968,3.19,0.5,9.5,5
1015,6.1,0.16,0.27,12.6,0.064,63,162,0.9994,3.66,0.43,8.9,5
1016,7.6,0.39,0.22,2.8,0.036,19,113,0.9926,3.03,0.29,10.2,5
1017,6.8,0.37,0.47,11.2,0.071,44,136,0.9968,2.98,0.88,9.2,5
1018,7.6,0.16,0.44,1.4,0.043,25,109,0.9932,3.11,0.75,10.3,6
1019,7.1,0.18,0.42,1.4,0.045,47,157,0.9916,2.95,0.31,10.5,6
1020,8.3,0.14,0.26,1.5,0.049,56,189,0.9946,3.21,0.62,9.5,6
1021,8.6,0.2,0.42,1.5,0.041,35,125,0.9925,3.11,0.49,11.4,7
1022,8.6,0.2,0.42,1.5,0.041,35,125,0.9925,3.11,0.49,11.4,7
1023,6.8,0.19,0.32,7.05,0.019,54,188,0.9935,3.25,0.37,11.1,8
1024,7.6,0.19,0.38,10.6,0.06,48,174,0.9962,3.13,0.38,10.5,6
1025,6.8,0.34,0.74,2.8,0.088,23,185,0.9928,3.51,0.7,12,6
1026,6.2,0.15,0.46,1.6,0.039,38,123,0.993,3.38,0.51,9.7,6
1027,6.6,0.14,0.44,1.6,0.042,47,140,0.993,3.32,0.51,10.2,6
1028,8,0.55,0.17,8.2,0.04,13,60,0.9956,3.09,0.3,9.5,4
1029,7,0.24,0.35,1.5,0.052,51,128,0.9941,3.41,0.59,10.4,7
1030,6.3,0.6,0.44,11,0.05,50,245,0.9972,3.19,0.57,9.3,4
1031,7.1,0.2,0.41,2.1,0.054,24,166,0.9948,3.48,0.62,10.5,6
1032,6.2,0.34,0.29,7.6,0.047,45,232,0.9955,3.35,0.62,10,6
1033,7.1,0.3,0.36,6.8,0.055,44.5,234,0.9972,3.49,0.64,10.2,6
1034,7.1,0.3,0.36,6.8,0.055,44.5,234,0.9972,3.49,0.64,10.2,6
1035,7.9,0.64,0.46,10.6,0.244,33,227,0.9983,2.87,0.74,9.1,3
1036,8.8,0.17,0.38,1.8,0.04,39,148,0.9942,3.16,0.67,10.2,6
1037,7.5,0.17,0.37,1.5,0.06,18,75,0.9936,3.54,0.88,10.7,5
1038,7.1,0.47,0.24,6,0.044,11,77,0.9956,3.21,0.56,9.7,5
1039,7.1,0.15,0.34,5.3,0.034,33,104,0.9953,3.37,0.52,9.3,7
1040,7.5,0.17,0.34,1.4,0.035,13,102,0.9918,3.05,0.74,11,5
1041,8.2,0.68,0.3,2.1,0.047,17,138,0.995,3.22,0.71,10.8,4
1042,7.7,0.275,0.3,1,0.039,19,75,0.992,3.01,0.56,10.7,5
1043,7.3,0.49,0.32,5.2,0.043,18,104,0.9952,3.24,0.45,10.7,4
1044,7.5,0.33,0.48,19.45,0.048,55,243,1.001,2.95,0.4,8.8,5
1045,7.2,0.21,0.37,1.6,0.049,23,94,0.9924,3.16,0.48,10.9,7
1046,7.3,0.15,0.4,2,0.05,24,92,0.9932,3.14,0.45,10.5,5
1047,6.5,0.19,0.1,1.3,0.046,23,107,0.9937,3.29,0.45,10,5
1048,7,0.31,0.52,1.7,0.029,5,61,0.9918,3.07,0.43,10.4,5
1049,8.3,0.4,0.38,1.1,0.038,15,75,0.9934,3.03,0.43,9.2,5
1050,6.1,0.37,0.36,4.7,0.035,36,116,0.991,3.31,0.62,12.6,6
1051,7.3,0.24,0.34,7.5,0.048,29,152,0.9962,3.1,0.54,9,5
1052,6.9,0.21,0.81,1.1,0.137,52,123,0.9932,3.03,0.39,9.2,6
1053,7.6,0.29,0.42,1.3,0.035,18,86,0.9908,2.99,0.39,11.3,5
1054,9.4,0.29,0.55,2.2,0.05,17,119,0.9962,3.12,0.69,10.3,4
1055,7,0.31,0.52,1.7,0.029,5,61,0.9918,3.07,0.43,10.4,5
1056,8.6,0.26,0.41,2.2,0.049,29,111,0.9941,2.96,0.44,10,5
1057,7.5,0.21,0.34,1.2,0.06,26,111,0.9931,3.51,0.47,10.7,6
1058,7.2,0.51,0.24,10,0.093,35,197,0.9981,3.41,0.47,9,5
1059,7.5,0.21,0.34,1.2,0.06,26,111,0.9931,3.51,0.47,10.7,6
1060,5.3,0.3,0.2,1.1,0.077,48,166,0.9944,3.3,0.54,8.7,4
1061,8,0.26,0.36,2,0.054,30,121,0.992,3.09,0.72,11.6,7
1062,7,0.21,0.28,7.5,0.07,45,185,0.9966,3.34,0.55,9.4,5
1063,6.7,0.26,0.26,4,0.079,35.5,216,0.9956,3.31,0.68,9.5,5
1064,6.7,0.26,0.26,4.1,0.073,36,202,0.9956,3.3,0.67,9.5,5
1065,8.1,0.26,0.37,1.9,0.072,48,159,0.9949,3.37,0.7,10.9,6
1066,8.3,0.22,0.38,14.8,0.054,32,126,1.0002,3.22,0.5,9.7,5
1067,6.4,0.3,0.51,5.5,0.048,62,172,0.9942,3.08,0.45,9.1,6
1068,7.5,0.19,0.34,2.6,0.037,33,125,0.9923,3.1,0.49,11.1,7
1069,8.8,0.33,0.44,6.35,0.024,9,87,0.9917,2.96,0.4,12.6,7
1070,6.9,0.2,0.36,1.5,0.031,38,147,0.9931,3.35,0.56,11,6
1071,8,0.37,0.32,1.6,0.04,32,166,0.992,3,0.55,11.3,7
1072,8.3,0.22,0.38,14.8,0.054,32,126,1.0002,3.22,0.5,9.7,5
